warehouse_inventory_level,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,cargo_condition_status,route_risk_level,customs_clearance_time,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,supplier_country
985.7168615,0.481293674,0.761166168,0.35906606,456.503853,0.986064284,2.128008822,100.7728538,0.777263471,1.182115989,0.502006422,0.50615189,0.885291204,2,9.110681821,Greece
985.7168615,0.481293674,0.761166168,0.35906606,456.503853,0.986064284,2.128008822,100.7728538,0.777263471,1.182115989,0.502006422,0.50615189,0.885291204,2,9.110681821,South Korea
985.7168615,0.481293674,0.761166168,0.35906606,456.503853,0.986064284,2.128008822,100.7728538,0.777263471,1.182115989,0.502006422,0.50615189,0.885291204,2,9.110681821,Ethiopia
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,Iran
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,Guatemala
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,Greece
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,Nepal
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,Georgia
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,Kyrgyzstan
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,Slovakia
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,Ireland
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,Sweden
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,Turkey
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,Morocco
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,Qatar
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,USA
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,Romania
914.925067,0.020083428,0.053659432,0.952384588,977.2225276,0.431088309,14.00149111,2146.190197,0.262080873,8.861442874,3.445429027,0.91243276,0.991122067,0,7.752483862,South Korea
914.925067,0.020083428,0.053659432,0.952384588,977.2225276,0.431088309,14.00149111,2146.190197,0.262080873,8.861442874,3.445429027,0.91243276,0.991122067,0,7.752483862,Slovakia
914.925067,0.020083428,0.053659432,0.952384588,977.2225276,0.431088309,14.00149111,2146.190197,0.262080873,8.861442874,3.445429027,0.91243276,0.991122067,0,7.752483862,Algeria
822.5906491,0.06207391,0.397323349,0.701698885,103.8250019,0.934843772,1.88631576,3587.988449,0.041377887,9.492603161,2.163846464,0.83828717,0.982023475,0,-1.630306541,Netherlands
822.5906491,0.06207391,0.397323349,0.701698885,103.8250019,0.934843772,1.88631576,3587.988449,0.041377887,9.492603161,2.163846464,0.83828717,0.982023475,0,-1.630306541,Oman
822.5906491,0.06207391,0.397323349,0.701698885,103.8250019,0.934843772,1.88631576,3587.988449,0.041377887,9.492603161,2.163846464,0.83828717,0.982023475,0,-1.630306541,Spain
822.5906491,0.06207391,0.397323349,0.701698885,103.8250019,0.934843772,1.88631576,3587.988449,0.041377887,9.492603161,2.163846464,0.83828717,0.982023475,0,-1.630306541,Iraq
6.048353516,0.333237075,0.002689008,0.357689132,296.6356703,0.595347293,1.153419673,9356.078574,0.243348145,9.870429787,4.159664609,0.999356931,0.061456799,0,5.135373919,Italy
6.048353516,0.333237075,0.002689008,0.357689132,296.6356703,0.595347293,1.153419673,9356.078574,0.243348145,9.870429787,4.159664609,0.999356931,0.061456799,0,5.135373919,Bangladesh
6.048353516,0.333237075,0.002689008,0.357689132,296.6356703,0.595347293,1.153419673,9356.078574,0.243348145,9.870429787,4.159664609,0.999356931,0.061456799,0,5.135373919,Israel
6.048353516,0.333237075,0.002689008,0.357689132,296.6356703,0.595347293,1.153419673,9356.078574,0.243348145,9.870429787,4.159664609,0.999356931,0.061456799,0,5.135373919,Portugal
256.2932081,0.021811956,0.240859266,0.608199784,674.8135484,0.793895089,1.003970172,7689.081301,0.34449623,2.954216314,1.456897804,0.514000643,0.979537535,2,7.432757901,Georgia
256.2932081,0.021811956,0.240859266,0.608199784,674.8135484,0.793895089,1.003970172,7689.081301,0.34449623,2.954216314,1.456897804,0.514000643,0.979537535,2,7.432757901,Portugal
256.2932081,0.021811956,0.240859266,0.608199784,674.8135484,0.793895089,1.003970172,7689.081301,0.34449623,2.954216314,1.456897804,0.514000643,0.979537535,2,7.432757901,Laos
109.8168679,0.049303923,0.183048015,0.867999883,484.4559935,0.242227756,5.818007518,9943.224513,0.914129299,7.158867746,2.169862739,0.321266532,0.223532662,2,1.323351023,Colombia
109.8168679,0.049303923,0.183048015,0.867999883,484.4559935,0.242227756,5.818007518,9943.224513,0.914129299,7.158867746,2.169862739,0.321266532,0.223532662,2,1.323351023,Finland
109.8168679,0.049303923,0.183048015,0.867999883,484.4559935,0.242227756,5.818007518,9943.224513,0.914129299,7.158867746,2.169862739,0.321266532,0.223532662,2,1.323351023,Indonesia
109.8168679,0.049303923,0.183048015,0.867999883,484.4559935,0.242227756,5.818007518,9943.224513,0.914129299,7.158867746,2.169862739,0.321266532,0.223532662,2,1.323351023,Norway
0.032109926,0.069872531,0.744814069,0.802685976,100.881247,0.999106946,11.60762367,9580.569025,0.03244357,3.587066777,3.751473219,0.996365474,0.233777644,0,0.739935447,Colombia
0.032109926,0.069872531,0.744814069,0.802685976,100.881247,0.999106946,11.60762367,9580.569025,0.03244357,3.587066777,3.751473219,0.996365474,0.233777644,0,0.739935447,India
0.032109926,0.069872531,0.744814069,0.802685976,100.881247,0.999106946,11.60762367,9580.569025,0.03244357,3.587066777,3.751473219,0.996365474,0.233777644,0,0.739935447,Sri Lanka
146.1290872,0.343390372,0.989637736,0.007115722,546.9087163,0.645342346,7.622528765,9974.318475,0.002587328,1.472211821,0.508619686,0.96296976,0.999999121,0,6.389036515,Fiji
146.1290872,0.343390372,0.989637736,0.007115722,546.9087163,0.645342346,7.622528765,9974.318475,0.002587328,1.472211821,0.508619686,0.96296976,0.999999121,0,6.389036515,Bosnia and Herzegovina
146.1290872,0.343390372,0.989637736,0.007115722,546.9087163,0.645342346,7.622528765,9974.318475,0.002587328,1.472211821,0.508619686,0.96296976,0.999999121,0,6.389036515,Dominican Republic
130.4709974,0.000602896,0.867935473,0.763149352,935.7352606,0.191855736,11.14318083,9951.020592,0.1567627,9.999746615,0.715278915,0.992252688,0.520720431,0,0.300675759,Qatar
130.4709974,0.000602896,0.867935473,0.763149352,935.7352606,0.191855736,11.14318083,9951.020592,0.1567627,9.999746615,0.715278915,0.992252688,0.520720431,0,0.300675759,Laos
